ds,y,Shares traded,Moving_average_50,RSI_14,upper_band_20,middle_band_20,lower_band_20,MACD,MACD_signal,MACD_histogram,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force)",Sentiment,Shanghai Stock Exchange,Dow Jones Industrial Average
2017-03-15,9084.8,248033251,8663.497,73.70755519745704,9078.330304244271,8907.8775,8737.42469575573,98.34182189858802,98.32936186023498,0.012460038353040659,6.7954,3.3,7.7,-0.6369,3241.760009765625,20950.099609375
2017-03-16,9153.7,215096446,8682.981,76.96296220694238,9118.722414018228,8925.947499999998,8733.172585981769,106.58530350842375,99.98055018987274,6.604753318551005,6.7954,3.3,7.7,0.5719,3268.93505859375,20934.55078125
2017-03-17,9160.05,295554265,8702.337,77.24262562683114,9142.97778728866,8947.715,8752.45221271134,112.33577709438032,102.45159557077426,9.88418152360606,6.7954,3.3,7.7,-0.7845,3237.447021484375,20914.619140625
2017-03-20,9126.85,342395900,8721.064,72.30065347561275,9158.981714882291,8965.1575,8771.333285117707,112.91252104811429,104.54378066624227,8.368740381872016,6.7954,3.3,7.7,-0.8316,3250.80810546875,20905.859375
2017-03-21,9121.5,255396073,8738.018,71.50670844477347,9173.645847472884,8980.1475,8786.649152527114,111.65085296573488,105.9651951261408,5.685657839594086,6.7954,3.3,7.7,0.6808,3261.611083984375,20668.009765625
2017-03-22,9030.45,239463699,8753.751,59.52638432504155,9176.603709793993,8987.710000000001,8798.816290206008,102.12674432038511,105.19750496498966,-3.0707606446045475,6.7954,3.3,7.7,0.1779,3245.219970703125,20661.30078125
2017-03-23,9086.3,197705274,8770.756,63.55944431580247,9186.450474056035,8996.6325,8806.814525943964,97.956268950722,103.74925776213614,-5.7929888114141335,6.7954,3.3,7.7,0.6249,3248.550048828125,20656.580078125
2017-03-24,9108.0,210021581,8787.144,65.01801786038376,9198.58879827126,9005.6875,8812.78620172874,95.30354586678732,102.06011538306639,-6.756569516279072,6.7954,3.3,7.7,0.8176,3269.445068359375,20596.720703125
2017-03-27,9045.2,209036051,8800.435,57.806825879724634,9202.114532203117,9010.9725,8819.830467796883,87.12943466579236,99.07397923961159,-11.944544573819229,6.7954,3.3,7.7,0.0,3266.955078125,20550.98046875
2017-03-28,9100.8,188985603,8814.307,61.84197048670654,9208.583112175136,9021.1775,8833.771887824863,84.16761609332389,96.09270661035406,-11.92509051703017,6.7954,3.3,7.7,0.2263,3252.947998046875,20701.5
