Date,Close,Shares traded
"Wednesday, March 23, 2016",7716.5,205794773
"Monday, March 28, 2016",7615.1,249905118
"Tuesday, March 29, 2016",7597,223493457
"Wednesday, March 30, 2016",7735.2,239843751
"Thursday, March 31, 2016",7738.4,391914059
"Friday, April 1, 2016",7713.05,189571551
"Monday, April 4, 2016",7758.8,160277940
"Tuesday, April 5, 2016",7603.2,210126897
"Wednesday, April 6, 2016",7614.35,170653808
"Thursday, April 7, 2016",7546.45,241684050
"Friday, April 8, 2016",7555.2,147816460
"Monday, April 11, 2016",7671.4,185353268
"Tuesday, April 12, 2016",7708.95,168508978
"Wednesday, April 13, 2016",7850.45,227217288
"Monday, April 18, 2016",7914.7,190258561
"Wednesday, April 20, 2016",7914.75,211630060
"Thursday, April 21, 2016",7912.05,230577117
"Friday, April 22, 2016",7899.3,188988540
"Monday, April 25, 2016",7855.05,150776959
"Tuesday, April 26, 2016",7962.65,208656803
"Wednesday, April 27, 2016",7979.9,213174058
"Thursday, April 28, 2016",7847.25,301485186
"Friday, April 29, 2016",7849.8,251227047
"Monday, May 2, 2016",7805.9,150818181
"Tuesday, May 3, 2016",7747,192271370
"Wednesday, May 4, 2016",7706.55,205939089
"Thursday, May 5, 2016",7735.5,190792828
"Friday, May 6, 2016",7733.45,168662226
"Monday, May 9, 2016",7866.05,165616829
"Tuesday, May 10, 2016",7887.8,166957276
"Wednesday, May 11, 2016",7848.85,220712496
"Thursday, May 12, 2016",7900.4,157444918
"Friday, May 13, 2016",7814.9,185061782
"Monday, May 16, 2016",7860.75,211547775
"Tuesday, May 17, 2016",7890.75,189140810
"Wednesday, May 18, 2016",7870.15,161169418
"Thursday, May 19, 2016",7783.4,175711829
"Friday, May 20, 2016",7749.7,161889432
"Monday, May 23, 2016",7731.05,177347948
"Tuesday, May 24, 2016",7748.85,151538169
"Wednesday, May 25, 2016",7934.9,181636649
"Thursday, May 26, 2016",8069.65,272456307
"Friday, May 27, 2016",8156.65,268963949
"Monday, May 30, 2016",8178.5,255086293
"Tuesday, May 31, 2016",8160.1,485645737
"Wednesday, June 1, 2016",8179.95,200371829
"Thursday, June 2, 2016",8218.95,187316365
"Friday, June 3, 2016",8220.8,390652017
"Monday, June 6, 2016",8201.05,176885226
"Tuesday, June 7, 2016",8266.45,249365706
"Wednesday, June 8, 2016",8273.05,179710369
"Thursday, June 9, 2016",8203.6,180293039
"Friday, June 10, 2016",8170.05,187757375
"Monday, June 13, 2016",8110.6,174916286
"Tuesday, June 14, 2016",8108.85,150042362
"Wednesday, June 15, 2016",8206.6,174953935
"Thursday, June 16, 2016",8140.75,195028743
"Friday, June 17, 2016",8170.2,171842760
"Monday, June 20, 2016",8238.5,173750792
"Tuesday, June 21, 2016",8219.9,141161921
"Wednesday, June 22, 2016",8203.7,140268297
"Thursday, June 23, 2016",8270.45,158852677
"Friday, June 24, 2016",8088.6,306803641
"Monday, June 27, 2016",8094.7,167462711
"Tuesday, June 28, 2016",8127.85,175724276
"Wednesday, June 29, 2016",8204,151499716
"Thursday, June 30, 2016",8287.75,288031935
"Friday, July 1, 2016",8328.35,170581881
"Monday, July 4, 2016",8370.7,158955823
"Tuesday, July 5, 2016",8335.95,143253937
"Thursday, July 7, 2016",8337.9,160327315
"Friday, July 8, 2016",8323.2,142159935
"Monday, July 11, 2016",8467.9,154399933
"Tuesday, July 12, 2016",8521.05,189339750
"Wednesday, July 13, 2016",8519.5,201492184
"Thursday, July 14, 2016",8565,158738499
"Friday, July 15, 2016",8541.4,228598684
"Monday, July 18, 2016",8508.7,169400452
"Tuesday, July 19, 2016",8528.55,173050805
"Wednesday, July 20, 2016",8565.85,165349380
"Thursday, July 21, 2016",8510.1,154575685
"Friday, July 22, 2016",8541.2,147619642
"Monday, July 25, 2016",8635.65,154631398
"Tuesday, July 26, 2016",8590.65,159563469
"Wednesday, July 27, 2016",8615.8,189796380
"Thursday, July 28, 2016",8666.3,240721865
"Friday, July 29, 2016",8638.5,161935155
"Monday, August 1, 2016",8636.55,194186858
"Tuesday, August 2, 2016",8622.9,174556789
"Wednesday, August 3, 2016",8544.85,168033073
"Thursday, August 4, 2016",8551.1,169780463
"Friday, August 5, 2016",8683.15,162784913
"Monday, August 8, 2016",8711.35,177877012
"Tuesday, August 9, 2016",8678.25,206261255
"Wednesday, August 10, 2016",8575.3,178963496
"Thursday, August 11, 2016",8592.15,195114539
"Friday, August 12, 2016",8672.15,272014034
"Tuesday, August 16, 2016",8642.55,231771409
"Wednesday, August 17, 2016",8624.05,179540691
"Thursday, August 18, 2016",8673.25,169431656
"Friday, August 19, 2016",8666.9,197770568
"Monday, August 22, 2016",8629.15,156976546
"Tuesday, August 23, 2016",8632.6,193302503
"Wednesday, August 24, 2016",8650.3,154168043
"Thursday, August 25, 2016",8592.2,219736214
"Friday, August 26, 2016",8572.55,152146666
"Monday, August 29, 2016",8607.45,133723771
"Tuesday, August 30, 2016",8744.35,154828719
"Wednesday, August 31, 2016",8786.2,373422334
"Thursday, September 1, 2016",8774.65,246336047
"Friday, September 2, 2016",8809.65,197385217
"Tuesday, September 6, 2016",8943,201617132
"Wednesday, September 7, 2016",8917.95,299145644
"Thursday, September 8, 2016",8952.5,223937056
"Friday, September 9, 2016",8866.7,181344327
"Monday, September 12, 2016",8715.6,190199613
"Wednesday, September 14, 2016",8726.6,189984289
"Thursday, September 15, 2016",8742.55,149889703
"Friday, September 16, 2016",8779.85,274039556
"Monday, September 19, 2016",8808.4,135814177
"Tuesday, September 20, 2016",8775.9,140718486
"Wednesday, September 21, 2016",8777.15,153441330
"Thursday, September 22, 2016",8867.45,178136644
"Friday, September 23, 2016",8831.55,191618169
"Monday, September 26, 2016",8723.05,169050086
"Tuesday, September 27, 2016",8706.4,156100521
"Wednesday, September 28, 2016",8745.15,170643694
"Thursday, September 29, 2016",8591.25,384395249
"Friday, September 30, 2016",8611.15,187333285
"Monday, October 3, 2016",8738.1,141472076
"Tuesday, October 4, 2016",8769.15,189990151
"Wednesday, October 5, 2016",8743.95,162103951
"Thursday, October 6, 2016",8709.55,168713605
"Friday, October 7, 2016",8697.6,155053800
"Monday, October 10, 2016",8708.8,111794053
"Thursday, October 13, 2016",8573.35,218861324
"Friday, October 14, 2016",8583.4,167848947
"Monday, October 17, 2016",8520.4,203516577
"Tuesday, October 18, 2016",8677.9,216626083
"Wednesday, October 19, 2016",8659.1,177397872
"Thursday, October 20, 2016",8699.4,165952091
"Friday, October 21, 2016",8693.05,162162047
"Monday, October 24, 2016",8708.95,161966274
"Tuesday, October 25, 2016",8691.3,195696479
"Wednesday, October 26, 2016",8615.25,226133074
"Thursday, October 27, 2016",8615.25,250336333
"Friday, October 28, 2016",8638,180906084
"Sunday, October 30, 2016",8625.7,16610872
"Tuesday, November 1, 2016",8626.25,170068995
"Wednesday, November 2, 2016",8514,160130480
"Thursday, November 3, 2016",8484.95,175773254
"Friday, November 4, 2016",8433.75,231783152
"Monday, November 7, 2016",8497.05,178070534
"Tuesday, November 8, 2016",8543.55,201759648
"Wednesday, November 9, 2016",8432,323968654
"Thursday, November 10, 2016",8525.75,271196930
"Friday, November 11, 2016",8296.3,275221694
"Tuesday, November 15, 2016",8108.45,370298063
"Wednesday, November 16, 2016",8111.6,277801233
"Thursday, November 17, 2016",8079.95,197183084
"Friday, November 18, 2016",8074.1,166199545
"Monday, November 21, 2016",7929.1,225608889
"Tuesday, November 22, 2016",8002.3,216677654
"Wednesday, November 23, 2016",8033.3,186602328
"Thursday, November 24, 2016",7965.5,268619026
"Friday, November 25, 2016",8114.3,183355873
"Monday, November 28, 2016",8126.9,195595287
